scan,tier,row,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12
1,1,1,MN19061208,MN19061105,MN18020243,MN13AA0726,MN18020229,MN13AA0716,MN19061108,,,,,
1,1,2,MN18020241,MN13AA0722,MN13AA0721,MN13AA0720,MN13AA0724,MN13AA0723,MN19061209,,,,,
1,1,3,MN19081418,MN13AA0712,MN13AA0709,MN13AA0710,MN13AA0711,MN19060504,MN19081419,,,,,
1,1,4,MN19081420,MN19060505,MN19060903,MN19060906,MN19060908,MN18020110,MN19081421,,,,,
1,1,5,MN18020820,MN19060905,MN19060907,MN19060803,MN19060804,MN19060909,MN18020827,,,,,
1,1,6,MN18020829,MN19061003,MN19061004,Mn19062103,MN19062104,MN19062106,MN18020830,,,,,
1,1,7,MN18020831,MN19062105,MN19062107,MN19060205,MN19062004,MN19062005,MN18020832,,,,,
1,1,8,MN18020822,MN19060404,MN15AA2504,MN19060705,MN19062403,MN19062405,MN18020833,,,,,
1,1,9,MN18020911,MN18020221,MN18020225,MN18020220,MN18020228,MN18020227,MN18020921,,,,,
1,1,10,MN18020922,MN18020232,MN18020117,MN18020109,MN18020111,MN18020112,MN18020908,,,,,
1,1,11,MN18020920,MN15AA2409,MN15AA2407,MN15AA2408,MN15AA2411,MN19061207,Mn18021305,,,,,
1,1,12,MN18021306,MN19081415,MN19081412,MN19081410,MN19081413,MN19081411,MN18020236,,,,,
1,2,1,MN19061111,MN19061110,MN19061109,MN19061112,MN19060706,MN19060808,MN19061218,MN19061211,MN19061210,MN19061216,MN19061215,MN19061214
1,2,2,MN19061213,MN19061217,MN19060103,MN19062407,MN19062406,MN19061006,MN19061007,MN19061114,MN19061113,MN19061115,MN19061106,MN19061107
1,2,3,MN19061005,MN19060912,MN19060911,MN19060910,MN19062006,MN19062010,MN19062007,MN19062008,MN19062009,MN19062011,MN19062012,MN19062013
1,2,4,MN19062015,MN19062014,MN19062108,MN19062109,MN19062112,MN19062110,MN19062111,MN19062304,MN15AA2507,MN15AA2410,MN18020118,MN18020116
1,2,5,MN18020231,MN18020230,MN18020233,MN18020234,MN18020237,MN18020238,MN18020239,MN18020240,MN18020242,MN18020244,MN18020245,MN18020246
1,2,6,MN18020247,MN18020248,MN18020250,MN13AA0715,MN13AA0717,MN13AA0718,MN13AA0810,MN13AA0812,MN13AA0813,MN14AA0521,MN14AA0522,MN14AA0524
1,2,7,MN14AA0526,MN13AA0917,MN13AA1025,MN14AA0410,MN14AA0322,MN14AA0324,MN14AA0326,MN14AA0329,MN14AA0327,MN14AA0320,MN14AA0323,MN14AA0425
1,2,8,MN14AA0423,MN14AA0435,MN14AA0429,MN15010611,MN15010509,MN15010407,MN19061610,MN19061608,MN19061609,MN19061605,MN19061606,MN19061408
1,2,9,MN19061409,MN19061410,MN19061411,MN19061412,MN19061413,MN19061414,MN15011005,MN15011012,MN15010816,MN15010814,MN15010817,MN15011007
1,2,10,MN15010815,MN19061811,MN19061810,MN19061809,MN19061808,MN19061807,MN18020609,MN18020611,MN18020719,MN18020720,MN18020721,MN18020722
1,2,11,MN18020723,MN18021713,MN18021714,MN18021815,MN18021812,MN18021814,MN19081309,MN19081310,MN19081313,MN19081315,MN19081316,MN19081317
1,2,12,MN19081318,MN19081319,MN19081320,MN19081414,MN19081503,MN19081504,MN19081505,MN19081507,MN19081506,MN19081508,MN19081509,MN19081510
2,1,1,,MN10AA0706,MN10AA0905,MN10AA1004,,,,,,,,
2,1,2,,MN19061305,MN19061304,MN19062003,MN12AA6013,,,,,,,
